Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000000003	61	49	59	46
ENSG00000000005	0	0	0	0
ENSG00000000419	1345	1397	1140	1019
ENSG00000000457	246	276	281	313
ENSG00000000460	694	850	717	648
ENSG00000000938	13	24	32	33
ENSG00000000971	4	5	20	14
ENSG00000001036	3265	3532	3731	3718
ENSG00000001084	1078	1145	1302	1292
ENSG00000001167	2608	2839	3002	3013
ENSG00000001460	231	248	187	204
ENSG00000001461	1127	1140	961	966
ENSG00000001497	2651	2886	2365	2337
ENSG00000001561	631	685	638	596
ENSG00000001617	98	126	88	99
ENSG00000001626	0	0	0	0
ENSG00000001629	1402	1504	2103	1983
ENSG00000001630	55	46	39	35
ENSG00000001631	1487	1616	1292	1249
ENSG00000002016	161	175	162	173
ENSG00000002079	1	3	0	1
ENSG00000002330	457	451	333	338
ENSG00000002549	2743	2874	5577	5346
ENSG00000002586	3232	3247	3406	3452
ENSG00000002587	1	0	0	0
ENSG00000002726	372	383	524	509
ENSG00000002745	0	0	0	0
ENSG00000002746	31	29	8	13
ENSG00000002822	808	858	854	747
ENSG00000002834	4649	4767	4649	4703
ENSG00000002919	915	945	1089	1006
ENSG00000002933	29	30	61	33
ENSG00000003056	5317	5985	6447	6336
ENSG00000003096	165	169	107	85
ENSG00000003137	295	315	251	234
ENSG00000003147	189	207	204	176
ENSG00000003249	20	32	6	10
ENSG00000003393	674	673	628	672
ENSG00000003400	293	327	407	402
ENSG00000003402	2215	2434	2750	2729
ENSG00000003436	148	168	130	127
ENSG00000003509	492	576	562	469
ENSG00000003756	3197	3589	3267	3418
ENSG00000003987	19	19	43	18
ENSG00000003989	276	351	364	293
ENSG00000004059	778	824	601	657
ENSG00000004139	20	10	18	15
ENSG00000004142	3404	3640	3044	3307
ENSG00000004399	1163	1190	854	876
ENSG00000004455	10812	11506	9441	9325
ENSG00000004468	2273	2570	2958	2607
ENSG00000004478	2453	2681	1987	1977
ENSG00000004487	4444	4869	3898	3974
ENSG00000004534	2965	3113	2606	2600
ENSG00000004660	101	119	91	117
ENSG00000004700	1348	1446	1445	1366
ENSG00000004766	541	625	587	609
ENSG00000004776	6	4	6	7
ENSG00000004777	552	579	351	371
ENSG00000004779	1651	1946	1779	1725
ENSG00000004799	11	8	28	27
ENSG00000004809	1307	1399	1282	1257
ENSG00000004838	26	28	19	20
ENSG00000004846	2	4	7	5
ENSG00000004848	18	22	10	18
ENSG00000004864	1140	1274	966	931
ENSG00000004866	665	706	549	570
ENSG00000004897	5097	5583	5918	5565
ENSG00000004939	10	10	7	7
ENSG00000004948	0	0	0	1
ENSG00000004961	1008	1054	1082	1038
ENSG00000004975	831	863	653	702
ENSG00000005001	0	0	0	0
ENSG00000005007	3756	3840	3578	3724
ENSG00000005020	1664	1835	1943	1919
ENSG00000005022	8826	9513	8503	8523
ENSG00000005059	231	301	353	328
ENSG00000005073	352	415	367	384
ENSG00000005075	744	769	720	696
ENSG00000005100	1566	1704	1536	1646
ENSG00000005102	0	2	1	1
ENSG00000005108	5162	5458	3917	3588
ENSG00000005156	1736	1817	1948	1946
ENSG00000005175	1843	2032	2150	1892
ENSG00000005187	63	53	148	136
ENSG00000005189	632	695	551	564
ENSG00000005194	1386	1427	1323	1344
ENSG00000005206	1297	1296	1086	1170
ENSG00000005238	504	554	407	433
ENSG00000005243	42	55	53	37
ENSG00000005249	1294	1401	1392	1217
ENSG00000005302	618	792	872	840
ENSG00000005339	3280	3179	3200	3369
ENSG00000005379	147	169	236	239
ENSG00000005381	211	188	108	104
ENSG00000005421	2	1	3	5
ENSG00000005436	880	993	736	697
ENSG00000005448	170	209	93	126
ENSG00000005469	239	217	211	204
ENSG00000005471	28	28	38	36
ENSG00000005483	3148	3421	3069	3131
ENSG00000005486	464	550	503	481
ENSG00000005513	0	1	0	0
ENSG00000005700	3783	4159	3487	3315
ENSG00000005801	1614	1775	1673	1482
ENSG00000005810	6520	7647	7649	7184
ENSG00000005812	1293	1346	1191	1130
ENSG00000005844	4495	4701	7986	8111
ENSG00000005882	483	473	363	348
ENSG00000005884	59	89	89	85
ENSG00000005889	1261	1395	1191	1166
ENSG00000005893	7327	7909	6893	6404
ENSG00000005961	11	12	8	4
ENSG00000005981	4	10	5	7
ENSG00000006007	2547	2712	2480	2636
ENSG00000006015	615	683	626	615
ENSG00000006016	3	3	2	1
ENSG00000006025	510	580	477	510
ENSG00000006042	3	4	1	11
ENSG00000006047	0	1	0	1
ENSG00000006059	0	1	0	0
ENSG00000006062	120	125	248	238
ENSG00000006071	0	0	0	0
ENSG00000006116	0	0	0	0
ENSG00000006118	8	6	13	6
ENSG00000006125	8586	9262	7918	7587
ENSG00000006128	0	0	0	0
ENSG00000006194	1416	1485	1316	1276
ENSG00000006210	4	10	4	7
ENSG00000006282	568	585	594	695
ENSG00000006283	5	2	4	4
ENSG00000006327	49	38	46	71
ENSG00000006377	6	1	8	4
ENSG00000006432	19	21	20	21
ENSG00000006451	910	1049	945	836
ENSG00000006453	26	26	15	17
ENSG00000006459	52	38	52	57
ENSG00000006468	124	128	96	92
ENSG00000006530	520	492	566	589
ENSG00000006534	963	990	1038	1093
ENSG00000006555	1	7	4	4
ENSG00000006576	1591	1773	1337	1291
ENSG00000006606	1	0	0	1
ENSG00000006607	2290	2470	2000	2018
ENSG00000006611	26	28	2	8
ENSG00000006625	1058	1291	1070	969
ENSG00000006634	1358	1416	1296	1287
ENSG00000006638	76	80	52	54
ENSG00000006652	1029	1064	1038	1088
ENSG00000006659	0	0	0	0
ENSG00000006695	753	757	785	784
ENSG00000006704	307	358	294	309
ENSG00000006712	1761	1842	1560	1637
ENSG00000006715	1655	1837	1695	1585
ENSG00000006740	171	165	129	135
ENSG00000006744	2017	2155	2034	2042
